Example Scenario in Survey,Correct Answer
"Our app accesses GPS location and sends it to our server.




Please select how you would report our app's data practices regarding GPS location.",Collected
"Our app accesses GPS location and sends it to our server via libraries and/or SDKs included in our app.




Please select how you would report our app's data practices regarding GPS location.",Collected
"Our app directly opens our own website in a webview, our website then accesses the user's GPS location through the webview, and sends it to our server.




 




Please select how you would report your app's data practices regarding GPS location.",Collected
"Our app allows users to navigate the open web via a webview. When the user opens google.com, it accesses the user's GPS location and sends the GPS location to Google's server.




 




Please select how you would report our app's data practices regarding GPS location.",Neither
"Our app sends the user's GPS location to our server to search for nearby places but does not store the GPS location after serving the request.




Please select how you would report our app's data practices regarding the user's GPS location.",Collected
"Our app requests for the user's full name and only sends the pseudonymized name to our server. (A pseudonymized name does not allow the individual to be directly identified, but it can be re-associated with the user if additional information is provided)
Please select how you would report our app's data practices regarding the user's full name.",Collected
"Our app accesses and processes the user's GPS location directly on the user’s device. The data never leaves the device.




Please select how you would report our app's data practices regarding the user's GPS location.",Neither
"Our app encrypts the user’s message before it is sent to another user, where it is decrypted.
Please select how you would report our app's data practices regarding the user's messages.",Neither
"Our app encrypts the user’s bank account information and sends it to our server.




Please select how you would report our app's data practices regarding the user's bank account information.",Collected
"Our app asks for a user's birthday for marketing communication, but that info is not required – the user can still sign up without providing that information.
Please select how you would report our app's data practices regarding the user's birthday.",Collected
"Our app accesses GPS location and sends it to a third party server.




Please select how you would report our app's data practices regarding GPS location.",Both
"We send the user's GPS location stored on our server to a third party server.




Please select how you would report our app's data practices regarding GPS location.",Both
"Our app accesses GPS location and sends it to another app directly on the device. The data never leaves the device.
(This is feasible because an app can use an Intent to perform some basic interactions with other apps, including sending data)








Please select how you would report your app's data practices regarding GPS location.",Shared
"Our app accesses GPS location and sends it directly to a third party server via libraries and/or SDKs included in our app.




Please select how you would report our app's data practices regarding GPS location.",Both
"Our app directly opens our own website in a webview, our website accesses the GPS location through the webview, and sends it to a third party server.




 




Please select how you would report your app's data practices regarding GPS location.",Both
"Our app allows users to navigate the open web via a webview. When the user opens google.com, it accesses the user's GPS location and sends the GPS location to a third party server.




 




Please select how you would report our app's data practices regarding GPS location.",Neither
"Our app accesses GPS location and sends it off the device to Google Maps to get real-time traffic updates. (Assume that Google doesn't use the GPS location for other purposes)




Please select how you would report our app's data practices regarding the user's GPS location.",Collected
"Our app accesses GPS location and stores it on Google's server using Google Cloud Storage. (Assume that Google doesn't use the GPS location for other purposes)




Please select how you would report our app's data practices regarding the user's GPS location.",Collected
